정류소명,X좌표,Y좌표,정류버스수,행정동,행정동_경도,행정동_위도
고속터미널,127.0052627142,37.5063349939,"36",반포3동,127.003546906127,37.5087854393324
신반포역.세화여중고,126.9958082515,37.5034551594,"28",반포2동,126.994503507652,37.5045938889694
구반포역.세화고등학교,126.9899929686,37.5020434082,"28",반포본동,126.986035611393,37.5004413570286
동작역.국립현충원,126.976539582,37.503116618,"18",사당2동,126.979253427857,37.4887524986383
흑석동한강현대아파트,126.971743946,37.5058385513,"17",흑석동,126.966590753167,37.505775015361
비계,126.9685796262,37.5064287101,"17",흑석동,126.966590753167,37.505775015361
경문고등학교,126.9827295523,37.4904376391,"16",방배4동,126.992482898494,37.4890604237304
정금마을,126.9828180395,37.4932521524,"16",사당2동,126.979253427857,37.4887524986383
흑석역.명수대현대아파트,126.9655773939,37.5075632815,"16",흑석동,126.966590753167,37.505775015361
삼호아파트,126.9877512453,37.4968049675,"15",방배본동,126.988886408987,37.4942175065151
정금마을.방배경찰서,126.982473,37.490902,"12",사당2동,126.979253427857,37.4887524986383
경문고교.배나무골앞,126.982473,37.490902,"12",사당2동,126.979253427857,37.4887524986383
서빙고역1번출구,126.9894739925,37.5200510964,"10",서빙고동,126.994638088433,37.5204623812845
이수교,126.984314,37.498224,"9",방배본동,126.988886408987,37.4942175065151
갯마을앞,126.9832923729,37.4975257209,"9",사당2동,126.979253427857,37.4887524986383
신용산초등학교,126.9761464371,37.5191306285,"8",이촌1동,126.973316804703,37.5213965319123
서빙고신동아아파트,126.9854597842,37.5174878544,"8",서빙고동,126.994638088433,37.5204623812845
동빙고동,126.9969058813,37.5211098548,"8",서빙고동,126.994638088433,37.5204623812845
서울지방조달청.서울성모병원,127.0039507767,37.5007637192,"8",반포4동,127.000307593417,37.4974760693012
삼성래미안,126.995335353,37.5026705835,"7",반포2동,126.994503507652,37.5045938889694
반포종합운동장,126.9962557409,37.4993812147,"6",반포2동,126.994503507652,37.5045938889694
방배열린문화센터(방배4동주민센터),126.9916348416,37.4906300512,"6",방배4동,126.992482898494,37.4890604237304
반포대교남단 한강시민공원입구,126.9996164075,37.5076207555,"6",반포2동,126.994503507652,37.5045938889694
카페골목입구,126.9872539267,37.4915610814,"6",방배4동,126.992482898494,37.4890604237304
서빙고역교차로,126.9901087261,37.5202604236,"5",서빙고동,126.994638088433,37.5204623812845
반포대교(가상),126.99713071,37.5095987231,"5",반포2동,126.994503507652,37.5045938889694
