field_1,Unnamed: 0,주차장id,주차장이름,주소,경도,위도,H/B,행정동,행정동_경도,행정동_위도
"206","467","517730385",동작대교공영주차장,서울 용산구 용산동6가 69-11,126.983156961787,37.5177763125378,H,이촌1동,126.973316804703,37.5213965319123
"211","480","766908189",이촌한강공원1 주차장,서울 용산구 서빙고동 287-4,126.992190421568,37.5179610599608,H,서빙고동,126.994638088433,37.5204623812845
"222","517","2058102204","반포한강공원 2,3주차장",서울 서초구 반포동 115-5,126.996097893442,37.5098882578825,H,반포2동,126.994503507652,37.5045938889694
"223","522","540029717",반포한강공원 3주차장(더리버),서울 서초구 반포동 1335-4,126.98641673062,37.5066565379329,H,반포본동,126.986035611393,37.5004413570286
"1095","3542","1302769926",노상공영주차장,서울 서초구 방배동 765-1,126.983085151455,37.4951367464176,H,방배본동,126.988886408987,37.4942175065151
"1096","3543","20576813",방배중앙로 노상공영주차장,서울 서초구 방배동 760-3,126.985997106902,37.4946731089069,H,방배본동,126.988886408987,37.4942175065151
"1097","3544","10286429",동작동갯마을 공영주차장,서울 동작구 동작동 102-80,126.982521845675,37.4958061124791,H,사당2동,126.979253427857,37.4887524986383
"1103","3589","16765131",이수공영주차장,서울 서초구 방배동 761-3,126.985397462062,37.4962777294382,H,방배본동,126.988886408987,37.4942175065151
"1111","3636","25632301",동작대교 공영주차장,서울 동작구 동작동 316-3,126.980121844313,37.5057483341571,H,사당2동,126.979253427857,37.4887524986383
"1112","3637","27588496",동작주차공원 주차장,서울 동작구 동작동 326,126.977118576468,37.5037079144042,H,사당2동,126.979253427857,37.4887524986383
"1115","3663","826110680",방배사이길노상공영주차장,서울 서초구 방배동 758-3,126.989209714326,37.4949545601714,H,방배본동,126.988886408987,37.4942175065151
"1181","3982","16420819",서초구립서래마을공영주차장,서울 서초구 반포동 90-7,126.998769633545,37.4970363721004,H,반포4동,127.000307593417,37.4974760693012
"1189","4011","17389789",반포4동주민센터 공영주차장,서울 서초구 반포4동 74-7,127.0003121167,37.4974400290287,H,반포4동,127.000307593417,37.4974760693012
"1190","4012","17766755",반포서래공영주차장,서울 서초구 반포동 95-13,126.99778349853,37.4981355856378,H,반포4동,127.000307593417,37.4974760693012
"1196","4047","27133057",동작공영주차장,서울 서초구 반포동 1333-1,126.980841197992,37.5055583409112,H,반포본동,126.986035611393,37.5004413570286
"1197","4054","20516433",반포유수지 공영주차장,서울 서초구 반포동 15-3,126.995675464587,37.499796982864,H,반포2동,126.994503507652,37.5045938889694
"1198","4057","791964571",반포2동공영주차장,서울 서초구 반포동 5-1,126.995340440937,37.5042911871174,H,반포2동,126.994503507652,37.5045938889694
"1199","4058","1056014060",서초구립 반포2동반포외국인학교 공영주차장,서울 서초구 반포동 6-1,126.996018989701,37.5048146960882,H,반포2동,126.994503507652,37.5045938889694
"1200","4078","50893770",반포2동공영주차장 전기차충전소,서울 서초구 반포동 5-1,126.995796203543,37.5045524957959,H,반포2동,126.994503507652,37.5045938889694
"1201","4080","824843066",GS타임즈 반포2동공영주차장,서울 서초구 반포동 5-1,126.995792809738,37.5045687137728,H,반포2동,126.994503507652,37.5045938889694
