정류소명,X좌표,Y좌표,정류버스수
서울역버스환승센터,126.9727726582,37.5554752628,58
현대아파트,127.0528614215,37.4822764053,55
노량진역,126.9447075477,37.5138859062,52
연희104고지앞.구성산회관,126.9257864975,37.566360026,52
미아사거리역,127.030002312,37.613765142,48
신도림역,126.8894133691,37.5097646213,46
종로2가,126.985541114,37.570087252,45
논현역,127.0230119453,37.5072203243,45
갈월동,126.9716892138,37.5495341989,43
뱅뱅사거리,127.0323668915,37.4875924092,43
노들역,126.9509621578,37.5127449235,43
디지털미디어시티역,126.9004602615,37.5789770583,43
덕은교.은평차고지앞,126.8840730255,37.5895695291,42
미아리고개.미아리예술극장,127.0216800673,37.5988124984,41
돈암사거리.성신여대입구,127.0180870417,37.5937751071,41
서대문우체국,126.9320762929,37.5617915237,41
녹번역,126.9349840117,37.6024266451,41
숙대입구역,126.9722180094,37.5437536535,40
동묘앞,127.0196389758,37.57430372,40
종로3가.탑골공원,126.9895689652,37.5701875394,39
광화문,126.9780908549,37.5702957096,39
홍대입구역,126.9245220392,37.5575337617,39
양천공영차고지,126.837716,37.508612,39
수유시장.성신여대미아캠퍼스앞,127.0241827782,37.6312290658,38
미아역.신일중고,127.0266555502,37.6248712648,38
도봉세무서.성북시장,127.0287005024,37.6197095673,38
동대문역사문화공원,127.0084231234,37.5673199726,37
종로1가,126.981,37.570072,37
길음뉴타운,127.0241845482,37.6036093788,37
제기동역.서울약령시,127.0353332523,37.5782154075,37
지하철2호선강남역,127.0257282697,37.5016093307,37
종로4가.종묘,126.9947286676,37.5704168801,36
고속터미널,127.0052627142,37.5063349939,36
웨딩타운,126.9526284858,37.5572550627,36
수색교,126.8884987417,37.5857991519,36
사천교,126.9181221804,37.5674835312,36
영천시장,126.9624984656,37.5699164515,35
종로5가.광장시장,126.9988533013,37.5707157083,35
동교동삼거리,126.9284303238,37.5580111593,35
잠실종합운동장,127.072133691,37.5108261104,35
모래내시장.가좌역,126.9150297545,37.5690355861,35
신용산역,126.9661443758,37.5272804289,34
월곡뉴타운,127.028232048,37.6068897684,34
삼각지역,126.9740800298,37.5359959041,33
래미안아파트.파이낸셜뉴스,127.0303401827,37.4918234471,33
구로디지털단지역,126.9014759359,37.4831362325,33
남부지방법원등기국.구로세무서(에이스하이테크시티),126.8997501987,37.5140324779,33
이대역,126.9472650087,37.5569302671,33
디지털단지오거리,126.8893726843,37.4795908017,33
당산역,126.9012109507,37.5329981247,33
화곡역,126.8410405102,37.5409144485,33
산골고개,126.9399620768,37.5952803918,33
KT용산지사,126.9704504046,37.5321195468,32
신설동역,127.023804,37.575838,32
금천우체국,126.8979023716,37.4700818105,32
대방역,126.926249,37.512624,32
연세대앞,126.9357013094,37.559982335,32
홍대입구역(가상),126.9259714072,37.5586124216,32
합정역,126.9157587662,37.5509343755,32
가락시장.가락시장역,127.1171697994,37.4943819152,32
홍제역,126.9443495004,37.5884785983,32
무악재역,126.9498032626,37.5831520609,32
독립문역.한성과학고,126.9575149707,37.574640544,32
한강대교북단.LG유플러스,126.9631731011,37.5241009704,31
쌍문역,127.0347521487,37.6488235595,31
신분당선강남역,127.0283494302,37.4960264799,31
아현역,126.95918,37.557309,31
종합운동장사거리,127.0796923471,37.5120271556,31
수색역앞,126.8932467929,37.5832374271,31
문정로데오거리입구,127.1203332021,37.4904170415,31
종로6가.동대문종합시장,127.0034688409,37.5709177804,30
도봉구민회관,127.0381546955,37.654566822,30
수유3동우체국,127.0290061373,37.6412660271,30
삼육서울병원,127.0606744947,37.5896880345,30
노들섬,126.9585823758,37.5173820666,30
문래동남성아파트,126.8922522482,37.5111692244,30
석촌호수.한솔병원,127.1051979813,37.5070736014,30
송파역,127.1127836537,37.4992201944,30
잠실역.롯데월드,127.097975007,37.512839385,30
신촌오거리.현대백화점,126.9358654093,37.5553502011,30
서울역사박물관.경희궁앞,126.970441967,37.5693360157,29
서울성심병원,127.0507898583,37.5846696462,29
노량진수산시장.CTS기독교TV,126.9388586158,37.5135438396,29
동작구청.노량진초등학교앞,126.9400732336,37.5103722106,29
중랑공영차고지.신내역,127.1020963392,37.6137088159,29
호림박물관,126.9185916485,37.4824601836,29
등촌역.강서보건소,126.8676078457,37.5494195429,29
염창역.서울도시가스,126.8750572933,37.5468629361,29
경찰청.동북아역사재단,126.9690060167,37.5629931372,28
우이1교앞,127.0326523611,37.6452930245,28
중랑교,127.0676810035,37.5917480294,28
신반포역.세화여중고,126.9958082515,37.5034551594,28
구반포역.세화고등학교,126.9899929686,37.5020434082,28
문성초등학교,126.8982791528,37.4739835838,28
말미고개,126.8973981572,37.4646092765,28
금천구청.금천경찰서,126.8992860477,37.4576779057,28
성산2교,126.9126799884,37.565612502,28
석촌역,127.1083293336,37.5035940539,28
DMC첨단산업센터,126.8851632023,37.5854117947,28
북가좌동삼거리,126.9045580186,37.5754680707,28
이수역,126.9820604091,37.4823321911,28
시흥사거리,126.901519584,37.4525428711,28
양평한신아파트.선유도공원입구,126.894684,37.541699,28
북창동.남대문시장,126.9779334764,37.5610812855,27
숭례문,126.9740061243,37.5585974617,27
하계역,127.0695594596,37.6367787075,27
신림사거리.신림역,126.92828543,37.4841520918,27
서울남부지방법원.서울남부지방검찰청,126.8633718797,37.5221786148,27
양강중학교,126.8506161955,37.5246184985,27
롯데영프라자,126.9819217706,37.5630081328,26
수유역.강북구청,127.0251835464,37.6375218186,26
청담역.경기고교,127.056404146,37.520832794,26
신촌오거리.2호선신촌역,126.937691,37.55523,26
세브란스병원앞,126.938925124,37.5601137816,26
문정법조단지.건영아파트,127.1247014642,37.4816204255,26
총신대입구역.남성시장입구앞,126.9823336799,37.4875327559,26
김안과병원,126.9030508456,37.5201641062,26
진관공영차고지,126.9080320933,37.646405068,26
안국역.종로경찰서.인사동,126.9841842323,37.5758656523,25
숭덕초교,127.0147214546,37.6035333244,25
석계역,127.067230707,37.6150652627,25
장한평역,127.0660976191,37.5611308563,25
양재역.서초문화예술회관,127.0358472562,37.4825218847,25
공군호텔,126.9241763411,37.5098395789,25
영등포역,126.9070268993,37.5165943731,25
온수역,126.8237945558,37.4927779291,25
서교동,126.9201811477,37.5542959385,25
낙성대입구,126.9618154597,37.4778159718,25
관악구보훈회관.신림푸르지오,126.9091308055,37.4807015612,25
난곡입구,126.9159267717,37.4819540029,25
롯데백화점,126.9821793435,37.5644712444,24
방송통신대.이화장,127.0022981851,37.5781239863,24
수유역,127.0240533777,37.6367024335,24
종암경찰서,127.0331233065,37.6014694388,24
종암동주민센터,127.0342434232,37.5992522052,24
청량리수산시장,127.0418650038,37.5790131929,24
DMC래미안e.편한세상요진아파트,126.9096139792,37.5716826162,24
신길역,126.9169860697,37.5167208678,24
모두의학교.금천문화예술정보학교,126.9055651074,37.4800492248,24
봉원중학교.행운동우성아파트,126.9557625429,37.4849787158,24
당산동진로아파트,126.8970171444,37.5211104508,24
경방타임스퀘어.신세계백화점,126.9055341951,37.5184013,24
은평뉴타운10단지,126.9150070518,37.6429320635,24
불광역3.6호선,126.9280694392,37.6124030581,24
남대문시장앞.이회영활동터,126.9762193,37.56037765,23
동대문역.흥인지문,127.0134620695,37.5722800814,23
삼양동사거리,127.0214008015,37.6181055358,23
청량리역환승센타,127.0454185705,37.5804121594,23
청량리역환승센터,127.0456563466,37.580381279,23
한진한화그랑빌아파트,127.0699139994,37.6182551734,23
삼성역,127.063780302,37.50728751,23
패션문화의거리입구,126.9290720662,37.4866538126,23
여의도역,126.9248546655,37.5206923552,23
신도림동.구로역,126.8839330305,37.5060443984,23
장지역.가든파이브,127.125577,37.479461,23
서울대학교,126.9491195281,37.4672780307,23
숭실대입구역,126.9535939661,37.4963848851,23
중계역,127.0651976974,37.6429369554,22
창경궁.서울대학교병원,126.9965201597,37.5791788583,22
서울북부지방법원.검찰청.도봉역성황당,127.0449148527,37.6777290916,22
창동농협물류센터,127.0501372274,37.6548286807,22
충정로역,126.962629259,37.560051091,22
마포역,126.946731744,37.5403227489,22
여의도환승센터,126.9246108306,37.5261172104,22
동양미래대학.구로성심병원,126.8680007979,37.4996658017,22
우신고등학교,126.8307796323,37.4932205018,22
상암휴먼시아아파트,126.8960528329,37.5750525637,22
상암초등학교,126.893455382,37.5765921541,22
상암DMC홍보관.YTN,126.8912628501,37.5778915801,22
강동공영차고지,127.1744802777,37.5643963964,22
이대후문,126.9432613182,37.5626323131,22
장지공영차고지,127.135941073,37.4804821579,22
서울산업정보학교.삼성교,126.9420147044,37.4706493056,22
목동대학학원,126.8727386547,37.5247981142,22
목동사거리,126.8637595011,37.5332661002,22
강서구청사거리.서울디지털대학교,126.8540847072,37.5552359372,22
합정역(가상),126.909902754,37.5479064037,22
개화역광역환승센터,126.798773,37.578626,22
동명여고.천주교불광동성당,126.9238915783,37.6161907377,22
불광역3호선.서울혁신파크,126.9308660648,37.609224659,22
은평구청,126.9303114393,37.6012532493,22
박석고개.신도고등학교,126.9190975871,37.6308608462,22
숭례문(가상),126.9744890187,37.5597629406,21
동대문(흥인지문),127.0124927764,37.5721671928,21
삼선동주민센터,127.0144093913,37.5906588219,21
국립4.19민주묘지입구사거리,127.0136377324,37.6480728624,21
광산사거리,127.0219618359,37.6434067242,21
교육개발원입구,127.0383424487,37.4785138305,21
신대방삼거리,126.9278438806,37.4977745862,21
서원동문화교앞,126.9330265488,37.4777737201,21
쟁골마을,127.1044938567,37.482671206,21
삼환아파트,127.1375392552,37.4965383566,21
봉천역.관악초등학교,126.9433283313,37.4823180745,21
관악구청,126.9523409651,37.4779711884,21
개봉역,126.85637181,37.4938269316,21
관악고등학교,126.8840881687,37.5231108906,21
신정현대아파트.서부트럭터미널,126.8431382821,37.5084056435,21
목동역.홍익병원,126.8642319206,37.5273384063,21
동산동능모퉁이.한국지역난방공 ,126.9056673436,37.6468589258,21
등촌중학교 백석초등학교,126.8605239274,37.5528647439,21
세명컴퓨터고등학교,126.9199076557,37.6252881227,21
삼선교.한성대학교,127.0092102337,37.5898834226,20
삼선교.한성대학교.조소앙활동터,127.0083640454,37.5893269191,20
보문역,127.019299,37.585282,20
