정류소명,X좌표,Y좌표,정류버스수,행정동,행정동_경도,행정동_위도
서울역버스환승센터,126.9727726582,37.5554752628,58,회현동,126.97935667015034,37.55729358571407
현대아파트,127.0528614215,37.4822764053,55,개포4동,127.05162216760603,37.47885717701172
노량진역,126.9447075477,37.5138859062,52,노량진1동,126.9420162213609,37.51230680241965
연희104고지앞.구성산회관,126.9257864975,37.566360026,52,연희동,126.93523075193143,37.573910010422026
미아사거리역,127.03000231200001,37.613765142,48,송천동,127.02386795319367,37.61830820181232
신도림역,126.8894133691,37.5097646213,46,신도림동,126.88061022867365,37.507780905043674
종로2가,126.985541114,37.570087252,45,종로1.2.3.4가동,126.99028726084354,37.574435539666744
논현역,127.02301194530001,37.5072203243,45,반포1동,127.01337714858089,37.50509061438031
갈월동,126.97168921379999,37.5495341989,43,남영동,126.97336800305129,37.54284397575442
뱅뱅사거리,127.03236689149999,37.4875924092,43,서초2동,127.02495850336193,37.492074599849566
노들역,126.9509621578,37.5127449235,43,노량진1동,126.9420162213609,37.51230680241965
디지털미디어시티역,126.9004602615,37.5789770583,43,증산동,126.90703977276561,37.58430306092341
덕은교.은평차고지앞,126.88407302549999,37.5895695291,42,수색동,126.89367222426786,37.5835205268528
미아리고개.미아리예술극장,127.0216800673,37.5988124984,41,돈암1동,127.02638631628797,37.603419721009935
돈암사거리.성신여대입구,127.0180870417,37.5937751071,41,동선동,127.02042247154486,37.59399653771089
서대문우체국,126.9320762929,37.5617915237,41,신촌동,126.93927688481546,37.56515088211023
녹번역,126.9349840117,37.6024266451,41,녹번동,126.92991998280014,37.60221616097081
숙대입구역,126.97221800940001,37.5437536535,40,남영동,126.97336800305129,37.54284397575442
동묘앞,127.01963897579999,37.57430372,40,숭인2동,127.01996896627993,37.57487753969854
종로3가.탑골공원,126.98956896520001,37.5701875394,39,종로1.2.3.4가동,126.99028726084354,37.574435539666744
광화문,126.9780908549,37.5702957096,39,종로1.2.3.4가동,126.99028726084354,37.574435539666744
홍대입구역,126.9245220392,37.5575337617,39,서교동,126.91459072347962,37.55510931339116
양천공영차고지,126.83771599999999,37.508612,39,신정3동,126.85479986821939,37.515122207950974
수유시장.성신여대미아캠퍼스앞,127.0241827782,37.6312290658,38,수유1동,127.01760923818316,37.63005817372584
미아역.신일중고,127.0266555502,37.6248712648,38,미아동,127.02706077667905,37.62708312940752
도봉세무서.성북시장,127.0287005024,37.6197095673,38,송천동,127.02386795319367,37.61830820181232
동대문역사문화공원,127.00842312340001,37.5673199726,37,광희동,127.00505266779864,37.56446721686456
종로1가,126.98100000000001,37.570071999999996,37,종로1.2.3.4가동,126.99028726084354,37.574435539666744
길음뉴타운,127.0241845482,37.6036093788,37,길음1동,127.01950278200795,37.61039832392342
제기동역.서울약령시,127.03533325229999,37.5782154075,37,제기동,127.03781841472248,37.583115463995185
지하철2호선강남역,127.0257282697,37.5016093307,37,서초4동,127.02408896564856,37.50272828123128
종로4가.종묘,126.9947286676,37.570416880100005,36,종로1.2.3.4가동,126.99028726084354,37.574435539666744
고속터미널,127.0052627142,37.5063349939,36,반포3동,127.00354690612721,37.50878543933239
웨딩타운,126.9526284858,37.5572550627,36,북아현동,126.95690573733543,37.55957245461398
수색교,126.8884987417,37.5857991519,36,수색동,126.89367222426786,37.5835205268528
사천교,126.9181221804,37.5674835312,36,연희동,126.93523075193143,37.573910010422026
영천시장,126.96249846559999,37.5699164515,35,천연동,126.95840436592846,37.56748013604264
종로5가.광장시장,126.99885330129999,37.5707157083,35,종로1.2.3.4가동,126.99028726084354,37.574435539666744
동교동삼거리,126.92843032379999,37.5580111593,35,서교동,126.91459072347962,37.55510931339116
잠실종합운동장,127.072133691,37.5108261104,35,잠실2동,127.08854061905198,37.51191663623328
모래내시장.가좌역,126.91502975450001,37.5690355861,35,남가좌1동,126.91978625354398,37.57327343428088
신용산역,126.9661443758,37.5272804289,34,한강로동,126.96910588830355,37.52814221077219
월곡뉴타운,127.02823204799999,37.6068897684,34,길음2동,127.02731160121031,37.60669551025378
삼각지역,126.97408002979999,37.5359959041,33,한강로동,126.96910588830355,37.52814221077219
래미안아파트.파이낸셜뉴스,127.0303401827,37.4918234471,33,서초2동,127.02495850336193,37.492074599849566
구로디지털단지역,126.9014759359,37.4831362325,33,구로3동,126.89033063276314,37.487348304030654
남부지방법원등기국.구로세무서(에이스하이테크시티),126.8997501987,37.5140324779,33,문래동,126.89949467431545,37.517118466214946
이대역,126.94726500870001,37.5569302671,33,신촌동,126.93927688481546,37.56515088211023
디지털단지오거리,126.8893726843,37.4795908017,33,가리봉동,126.88920266112314,37.48243495602108
당산역,126.90121095069999,37.5329981247,33,당산2동,126.89731736540782,37.53103166936052
화곡역,126.8410405102,37.5409144485,33,화곡본동,126.84766927540089,37.5440461638882
산골고개,126.9399620768,37.595280391799996,33,홍은2동,126.93422909114362,37.58015154435787
KT용산지사,126.97045040459999,37.5321195468,32,한강로동,126.96910588830355,37.52814221077219
신설동역,127.023804,37.575838,32,용신동,127.03726228192635,37.57580677816467
금천우체국,126.8979023716,37.470081810500005,32,독산1동,126.897043364446,37.4702351736748
대방역,126.926249,37.512624,32,대방동,126.92634350000763,37.50816426100698
연세대앞,126.9357013094,37.559982335,32,신촌동,126.93927688481546,37.56515088211023
