구명,단지명,주택유형,세대수,주소,우편번호,경도,위도,H/B,행정동,행정동_경도,행정동_위도
강남구,대치1,영구임대,1623,개포로109길 9 (개포동 대치아파트),6335,127.0750962,37.49575209,H,일원2동,127.0736996,37.49217318
강남구,수서1-1단지,영구공공,2214,양재대로55길 10 (일원동 수서1단지 에스에이치빌),6341,127.0909914,37.49315404,H,일원1동,127.0880692,37.49187863
강남구,수서6,영구임대,1508,광평로56길 11 (수서동 수서6단지아파트),6368,127.1056307,37.48797881,H,수서동,127.105004,37.48888786
강서구,보람더하임,재건축,202,양천로 666 (염창동 보람 더하임),7554,126.8705098,37.55151575,H,염창동,126.8709853,37.55373624
강남구,신사삼지래미안,재건축,63,압구정로2길 20 (신사동 래미안 신사),6027,127.0196202,37.52010498,H,신사동,127.0227745,37.52398503
강남구,래미안그레이튼,재건축,476,도곡로43길 20 (역삼동 래미안 그레이튼),6219,127.0486171,37.49686518,H,역삼2동,127.0468347,37.49596751
강남구,래미안그레이튼2차,재건축,464,도곡로43길 21 (역삼동 래미안그레이튼),6219,127.0470116,37.49572777,H,역삼2동,127.0468347,37.49596751
강남구,세곡리엔파크1단지,국민장기,395,헌릉로590길 100 (세곡동 세곡리엔파크1단지),6366,127.1010245,37.46352927,H,세곡동,127.1067603,37.4644401
강남구,신동아 파밀리에(세곡리엔파크2단지),국민장기,410,헌릉로590길 10 (세곡동 세곡리엔파크2단지),6365,127.1026803,37.46450499,H,세곡동,127.1067603,37.4644401
강남구,세곡리엔파크3단지,국민장기,363,헌릉로590길 11 (세곡동 세곡리엔파크3단지),6365,127.104165,37.46438764,H,세곡동,127.1067603,37.4644401
강남구,세곡리엔파크4단지,국민장기,407,헌릉로590길 88 (세곡동 세곡리엔파크4단지),6366,127.1014443,37.46287766,H,세곡동,127.1067603,37.4644401
강남구,청담자이,재건축,708,영동대로138길 12 (청담동 청담자이아파트),6076,127.0572498,37.52410147,H,청담동,127.04931,37.5251158
강남구,강남데시앙파크(세곡리엔파크5단지),국민장기,546,헌릉로590길 63 (세곡동 강남데시앙파크),6366,127.1015409,37.46104654,H,세곡동,127.1067603,37.4644401
