정류소명,X좌표,Y좌표,정류버스수,행정동,행정동_경도,행정동_위도
녹번역,126.9349840117,37.6024266451,"41",녹번동,126.9299199828,37.6022161609708
불광역3.6호선,126.9280694392,37.6124030581,"24",대조동,126.920825111082,37.614189964532
동명여고.천주교불광동성당,126.9238915783,37.6161907377,"22",대조동,126.920825111082,37.614189964532
불광역3호선.서울혁신파크,126.9308660648,37.609224659,"22",대조동,126.920825111082,37.614189964532
은평구청,126.9303114393,37.6012532493,"22",응암1동,126.926786873557,37.6006969911228
선진운수종점,126.9108134708,37.6139916762,"20",구산동,126.910376186526,37.6117570303308
연신내역.연서시장,126.9208564337,37.6192824445,"18",갈현1동,126.916741681501,37.6236222973065
응암오거리,126.916247,37.590813,"17",응암3동,126.915734941805,37.5922455291139
와산교,126.9130027216,37.5881064536,"16",증산동,126.907039772766,37.5843030609234
본서부병원,126.9235535905,37.6006263607,"16",응암1동,126.926786873557,37.6006969911228
은평세무서,126.9266264494,37.6012966302,"16",응암1동,126.926786873557,37.6006969911228
역촌역.역촌오거리,126.9233963525,37.6069586926,"15",녹번동,126.9299199828,37.6022161609708
연신내역.로데오거리,126.9199126013,37.617854665,"13",대조동,126.920825111082,37.614189964532
서울기독대학교입구,126.9103236469,37.602031078,"12",역촌동,126.915123289569,37.6043976551737
연서시장,126.9225929304,37.6192411815,"11",불광1동,126.932086867815,37.6103587706988
한전성서지사.북한산푸르지오,126.9336293599,37.6061541377,"11",녹번동,126.9299199828,37.6022161609708
한전성서지사.녹번동푸르지오,126.9344119919,37.6053791755,"11",녹번동,126.9299199828,37.6022161609708
은평문화예술정보학교,126.9185714592,37.5889736187,"11",응암3동,126.915734941805,37.5922455291139
구산중학교.구산교회,126.9108777885,37.6087987452,"11",구산동,126.910376186526,37.6117570303308
시립서북병원세현교회앞,126.910509705,37.6060162302,"11",역촌동,126.915123289569,37.6043976551737
응암3동주민센터,126.9176433607,37.5916363127,"11",응암2동,126.923074273438,37.5946147425936
신진과학기술고등학교,126.9205481253,37.5978814444,"11",응암1동,126.926786873557,37.6006969911228
