field_1,Unnamed: 0,구명,단지명,주택유형,세대수,입주개시일,주소,우편번호,전화번호,위도,경도,H/B,행정동,행정동_경도,행정동_위도
"476","476",은평구,불광SH-ville(불광1),재개발,"100",2005-10-07,불광로2길 46 (불광동 불광에스에이치빌),"3366",,37.6115390949586,126.93567596888,H,불광1동,126.932086867815,37.6103587706988
"477","477",은평구,응암SH-ville(응암6),재개발,"136",2007-09-20,백련산로 146-30 (응암동 응암 SH-VILLE),"3475",,37.5980401983599,126.926865459421,H,응암1동,126.926786873557,37.6006969911228
"492","492",은평구,구산그린빌,주거환경,"203",2009-02-12,갈현로7길 56 (구산동 구산그린빌),"3428",,37.6051347472374,126.90427946896,H,구산동,126.910376186526,37.6117570303308
"503","503",은평구,북한산힐스테이트(불광7),재개발,"188",2011-08-01,통일로 796 (불광동 북한산 힐스테이트7차),"3357",,37.616343199117,126.925757582129,H,불광1동,126.932086867815,37.6103587706988
"504","504",은평구,백련산힐스테이트1차(응암7),재개발,"78",2012-01-27,백련산로2길 39 (응암동 백련산 힐스테이트 1차),"3477",,37.5895653847943,126.925288376559,H,응암2동,126.923074273438,37.5946147425936
"505","505",은평구,백련산힐스테이트2차(응암8),재개발,"255",2012-01-27,백련산로2길 42 (응암동 백련산 힐스테이트 2차),"3477",,37.5895280532664,126.924251047182,H,응암2동,126.923074273438,37.5946147425936
"506","506",은평구,백련산힐스테이트3차(응암9),재개발,"219",2012-01-27,백련산로2길 46 (응암동 백련산 힐스테이트 3차),"3477",,37.5890048869464,126.924735950187,H,응암2동,126.923074273438,37.5946147425936
"508","508",은평구,녹번센트레빌(응암3),재개발,"350",2013-11-28,백련산로 160 (응암동 녹번역센트레빌),"3474",,37.5983184793122,126.926085881492,H,응암1동,126.926786873557,37.6006969911228
"509","509",은평구,불광롯데캐슬(불광4),재개발,"100",2013-12-03,불광로 64 (불광동 불광 롯데캐슬),"3364",,37.6131320544168,126.932470564865,H,불광1동,126.932086867815,37.6103587706988
"512","512",은평구,북한산푸르지오(녹번1-3),재개발,"1230",2015-08-25,통일로 660 (녹번동 북한산푸르지오아파트),"3370",,37.6059014471279,126.936049338482,H,녹번동,126.9299199828,37.6022161609708
"513","513",은평구,산새마을 두레주택,기타임대,"5",2017-08-01,가좌로11나길 23(신사동 은평구 산새마을 두레주택),"3439",,37.5962458737887,126.905318917808,H,신사2동,126.908223526808,37.5902397256607
"514","514",은평구,힐스테이트백련산4차,재건축,"963",2017-11-13,백련산로 37(응암동 힐스테이트백련산4차아파트) ,"3469",,37.5894133333452,126.92227448589,H,응암2동,126.923074273438,37.5946147425936
"515","515",은평구,힐스테이트(녹번제1-1구역),재개발행복(리츠2호),"952",2018-10-10,은평구 통일로610(녹번동21-269),"3373",,37.6019824456298,126.935947829509,H,녹번동,126.9299199828,37.6022161609708
"516","516",은평구,래미안베라힐즈아파트(녹번1-2구역),재개발행복(리츠2호),"1305",2018-12-31,은평구 통일로 630(녹번동 21-134),"3372",,37.6028449679876,126.935955809882,H,녹번동,126.9299199828,37.6022161609708
"518","518",은평구,응암역효성해링턴플레이스(신사19),행복(재건축),"380",2019-03-01,은평구 가좌로 334(신사동 372),"3437",,37.5981158955891,126.908770078234,H,신사1동,126.911769905814,37.5977927383244
"520","520",은평구,백련산 SK VIEW 아이파크아파트(응암10구역),재개발행복(리츠2호),"1305",2019-08-31,은평구 응암로30길 16(응암동 417-5),"3346",,37.5952285650967,126.91939457024,H,응암2동,126.923074273438,37.5946147425936
"521","521",은평구,백련산파크자이,행복(재건축),"678",2019-10-07,은평구 백련산로67(응암동626-53),"3468",,37.5927972064559,126.921619781742,H,응암2동,126.923074273438,37.5946147425936
