분류,시설명,x좌표,y좌표,법정동,행정동
간이운동장,돌   뫼,127.05276299999998,37.605125,석관동,석관동
간이운동장,동   방,127.04355100000001,37.616625,장위동,장위제1동
간이운동장,동   산,127.03228999999999,37.605577000000004,하월곡동,길음제2동
간이운동장,밤   골,127.039928,37.607571,하월곡동,길음제2동
간이운동장,삼   선,127.00898899999999,37.582602,삼선동1가,삼선동
간이운동장,샛   별,127.06414,37.614111,석관동,석관동
간이운동장,종   암,127.037177,37.600157,종암동,종암동
간이운동장,햇   살,127.048607,37.605909999999994,상월곡동,월곡제2동
간이운동장,향   기,127.04466799999999,37.610056,상월곡동,월곡제2동
간이운동장,고암,127.03175300000001,37.599942,종암동,종암동
간이운동장,매화,127.017298,37.600657,정릉동,정릉제1동
간이운동장,솔숲,127.01493700000002,37.604874,정릉동,정릉제1동
간이운동장,한울,127.01369199999999,37.605388,정릉동,정릉제1동
간이운동장,아현 녹지,126.96290549999999,37.55697602,아현동,아현동
체육관,성북 펜싱 체육관,127.0381601,37.60158335,종암동,종암동
간이운동장,서교 걷고 싶은거리쉼터,126.92203899999998,37.55365845,서교동,서교동
간이운동장,쌍문 근린공원,127.032875,37.653946999999995,쌍문동,쌍문제1동
간이운동장,창동 공공공지,127.04531000000001,37.660123999999996,창동,창제1동
간이운동장,남산 게이트볼장,127.0666366,37.43343142,신원동,내곡동
간이운동장,신양 동네체육시설,126.996626,37.58344,명륜3가,혜화동
간이운동장,천연 야외운동시설,126.9620669,37.56825262,천연동,천연동
간이운동장,홍제 야외운동시설,126.949353,37.59501817,홍제동,홍제제1동
간이운동장,응봉(한마음) 배드민턴장,127.01452169999999,37.55167948,신당동,신당동
국궁장,관악정,126.93377959999998,37.45860238,신림동,서원동
간이운동장,깃대봉,126.99510900000001,37.582954,와룡동,종로1·2·3·4가동
간이운동장,꿈나라,127.02293700000001,37.580276,보문동7가,보문동
간이운동장,동망봉,127.02034499999999,37.58488,보문동1가,보문동
간이운동장,두산힐,127.009979,37.501354,반포동,반포본동
간이운동장,등산로,127.14558799999999,37.56197,암사동,암사제1동
간이운동장,등산로,127.1463,37.561537,암사동,암사제1동
간이운동장,맑은숲,127.046566,37.620453000000005,장위동,장위제1동
간이운동장,배밭골,126.998958,37.607875,정릉동,정릉제1동
