field_1,Unnamed: 0,구명,단지명,주택유형,세대수,입주개시일,주소,우편번호,전화번호,위도,경도,H/B,행정동,행정동_경도,행정동_위도
"278","278",서대문구,홍제유원(홍제1),재개발,"150",1994-08-01,세검정로 134 (홍제동 유원하나아파트),"3620",,37.5946849738052,126.951908917839,H,홍제3동,126.949743382569,37.5937821789907
"279","279",서대문구,홍은벽산(홍은5-3),재개발,"1509",1995-06-01,세검정로1길 95 (홍은동 홍은벽산아파트),"3612",,37.5958254221961,126.945620839841,H,홍은1동,126.947108251211,37.5989166778989
"281","281",서대문구,인왕산현대(홍제4),재개발,"246",1998-04-07,통일로34길 46 (홍제동 인왕산현대아파트),"3633",,37.5858570515133,126.949957261207,H,홍제2동,126.949395266731,37.5861524276881
"282","282",서대문구,홍제원현대(홍제3),재개발,"482",1998-04-28,통일로34길 43 (홍제동 홍제원현대아파트),"3631",,37.5883357243751,126.948794498635,H,홍제2동,126.949395266731,37.5861524276881
"289","289",서대문구,홍은센트레빌(홍은10),재개발,"48",2009-08-30,통일로 553 (홍은동 홍은 센트레빌),"3647",,37.5972184006335,126.938208039041,H,홍은2동,126.934229091144,37.5801515443579
"291","291",서대문구,동원베네스트,재건축,"195",2012-02-07,홍은중앙로1길 65 (홍은동 동원베네스트아파트),"3613",,37.5984834346677,126.944456625497,H,홍은1동,126.947108251211,37.5989166778989
"294","294",서대문구,홍제금호어울림,재건축,"296",2016-04-19,모래내로 411 (홍제동 홍제금호어울림),"3644",,37.5850572917686,126.940908608914,H,홍제1동,126.944974009836,37.5877217807504
"297","297",서대문구,북한산더샵(홍은12),재개발,"552",2018-01-02,통일로510(홍은동 북한산 더샵),"3615",,37.594570187466,126.941167410528,H,홍은1동,126.947108251211,37.5989166778989
"298","298",서대문구,홍제센트럴아이파크아파트(홍제2구역),재개발행복(리츠2호),"906",2018-12-31,서대문구 통일로 395(홍제동 156),"3730",,37.5846147512232,126.944491273195,H,홍제1동,126.944974009836,37.5877217807504
"301","301",서대문구,북한산 두산위브(홍은14구역),재개발행복(리츠2호),"457",2019-11-30,서대문구 홍은중앙로3길 9(홍은동19-19),"3610",,37.5990017774988,126.944654295681,H,홍은1동,126.947108251211,37.5989166778989
"515","515",은평구,힐스테이트(녹번제1-1구역),재개발행복(리츠2호),"952",2018-10-10,은평구 통일로610(녹번동21-269),"3373",,37.6019824456298,126.935947829509,H,녹번동,126.9299199828,37.6022161609708
"516","516",은평구,래미안베라힐즈아파트(녹번1-2구역),재개발행복(리츠2호),"1305",2018-12-31,은평구 통일로 630(녹번동 21-134),"3372",,37.6028449679876,126.935955809882,H,녹번동,126.9299199828,37.6022161609708
"524","524",종로구,무악현대(무악1),재개발,"550",2000-02-01,통일로 246-11 (무악동 무악현대아파트),"3025",,37.575096680698,126.95912689358,H,무악동,126.958245677348,37.5759854736915
