행정동,시설명,경도,위도
돈암1동,성북,127.023636,37.600528
돈암1동,개운산,127.0257184,37.59741206
망우3동,달동산,127.0952,37.59217
반포본동,푸른공원,126.991238,37.500712
반포본동,반포4동주민센터,126.986158,37.500349
반포본동,나  리,126.987332,37.504209
부암동,홍제천1체육시설,126.9612391,37.60158549
성내3동,성안공원,127.134773,37.531369
역촌동,자투리(녹번)마을마당,126.915551,37.599552
역촌동,대조어린이공원,126.918478,37.601073
역촌동,궁말어린이공원,126.916513,37.608641
오륜동,올림픽공원,127.115518,37.520341
일원1동,대청근린공원,127.0826513,37.49257812
일원1동,일원까치공원,127.0881961,37.49209477
일원1동,일원목련공원,127.085475,37.491417
잠실7동,아시아,127.0759347,37.51068203
장위2동,장위2동 감나무쉼터,127.051625,37.614919
중곡3동,중곡문화체육센터,127.0848034,37.56777776
홍제3동,홍제교 좌안 상류 간이운동장,126.9463425,37.59298781
홍제3동,홍제근린공원,126.952997,37.594742
홍제3동,불천어린이공원,126.948142,37.59743951
