행정구,행정동,버스정류장,버스수,환승역가중치부여(환승역*2),주택세대수
강남구,개포1동,14,80,0,1469.5
강남구,개포2동,22,108,1,3277
강남구,개포4동,24,141,0,1469.5
강남구,논현1동,13,95,1,1469.5
강남구,논현2동,17,72,5,368
강남구,대치1동,14,98,0,1608
강남구,대치2동,17,132,1,1469.5
강남구,대치4동,12,62,0,1469.5
강남구,도곡1동,16,80,1,397
강남구,도곡2동,16,70,5,397
강남구,삼성1동,16,118,1,1469.5
강남구,삼성2동,17,118,5,416
강남구,세곡동,35,203,0,5042
강남구,수서동,12,85,5,1581
강남구,신사동,24,154,1,63
강남구,압구정동,15,84,0,1469.5
강남구,역삼1동,19,88,5,30
강남구,역삼2동,19,92,5,1999
강남구,일원1동,10,21,0,2214
강남구,일원2동,7,24,1,2473
강남구,일원본동,18,103,1,1469.5
강남구,청담동,14,95,1,708
강동구,강일동,31,152,0,7997
강동구,고덕제1동,14,38,1,4800
강동구,고덕제2동,11,97,1,4932
강동구,길동,23,85,1,2982.375
강동구,둔촌제1동,4,14,1,2982.375
강동구,둔촌제2동,21,55,1,2982.375
강동구,명일제1동,9,51,1,1900
강동구,명일제2동,10,32,0,2982.375
강동구,상일동,35,114,0,3046
강동구,성내제1동,7,35,0,482
강동구,성내제2동,11,53,1,2982.375
강동구,성내제3동,7,19,1,2982.375
강동구,암사제1동,5,15,0,2982.375
강동구,암사제2동,3,10,0,2982.375
강동구,암사제3동,9,28,0,2982.375
강동구,천호제1동,3,14,0,2982.375
강동구,천호제2동,15,50,5,191
강동구,천호제3동,4,6,0,511
강북구,미아동,20,61,1,1480.1667
강북구,번1동,13,88,0,1480.1667
강북구,번2동,21,78,0,1480.1667
강북구,번3동,15,67,0,1480.1667
강북구,삼각산동,14,76,0,6117
강북구,삼양동,22,71,1,547
강북구,송중동,32,101,1,1643
강북구,송천동,6,114,0,376
강북구,수유1동,25,129,1,18
강북구,수유2동,6,56,1,180
강북구,수유3동,10,110,1,1480.1667
강북구,우이동,21,132,1,1480.1667
강북구,인수동,25,91,0,1480.1667
강서구,가양제1동,28,120,5,1240
강서구,가양제2동,9,31,1,4409
강서구,가양제3동,13,36,0,2048
강서구,공항동,26,109,9,1475
강서구,등촌제1동,8,19,1,2499.727
강서구,등촌제2동,7,71,0,2499.727
강서구,등촌제3동,39,121,0,54
강서구,발산제1동,42,150,0,8111
강서구,방화제1동,28,107,1,5491
강서구,방화제2동,20,150,1,1140
강서구,방화제3동,12,42,1,2813
강서구,염창동,19,69,1,701
강서구,우장산동,19,124,1,2499.727
강서구,화곡본동,15,113,0,2499.727
강서구,화곡제1동,17,111,1,2499.727
강서구,화곡제2동,14,52,0,2499.727
강서구,화곡제3동,3,11,0,2499.727
강서구,화곡제4동,15,37,0,2499.727
강서구,화곡제6동,19,100,0,2499.727
강서구,화곡제8동,14,49,5,15
관악구,낙성대동,19,107,0,216
관악구,난곡동,10,82,0,745
관악구,난향동,11,61,0,150
관악구,남현동,4,30,3,745
관악구,대학동,35,192,0,745
관악구,미성동,20,196,0,197
관악구,보라매동,14,57,0,745
관악구,삼성동,19,118,0,745
관악구,서림동,16,68,0,745
관악구,서원동,15,75,1,745
관악구,성현동,18,68,0,2672
관악구,신림동,12,85,0,745
관악구,신사동,24,154,0,63
관악구,신원동,5,12,0,592
관악구,은천동,19,107,1,1430
관악구,인헌동,15,42,1,745
관악구,조원동,11,39,0,745
관악구,중앙동,9,50,0,277
관악구,청룡동,5,26,1,1489
관악구,청림동,5,7,0,392
관악구,행운동,10,99,0,717
광진구,광장동,18,42,1,134.5
광진구,구의제1동,5,42,0,134.5
광진구,구의제2동,12,52,0,72
광진구,구의제3동,16,29,1,197
광진구,군자동,14,59,1,160.4
광진구,능동,7,63,1,160.4
광진구,자양제1동,4,22,0,264
광진구,자양제2동,11,52,1,160.4
광진구,자양제3동,12,49,0,160.4
광진구,자양제4동,4,30,3,160.4
광진구,중곡제1동,10,43,5,160.4
광진구,중곡제2동,12,42,0,160.4
광진구,중곡제3동,13,60,1,160.4
광진구,중곡제4동,19,36,0,160.4
광진구,화양동,14,84,3,160.4
구로구,가리봉동,5,81,0,1626.375
구로구,개봉제1동,25,103,1,978
구로구,개봉제2동,18,60,0,1626.375
구로구,개봉제3동,13,29,0,1626.375
구로구,고척제1동,22,76,0,175
구로구,고척제2동,23,58,0,378
구로구,구로제1동,15,42,0,1626.375
구로구,구로제2동,24,125,1,1626.375
구로구,구로제3동,25,103,1,1626.375
