행정동코드,읍면동코드,자치행정동,자치구,행정동,거주인구수,낮생활인구비율,총노인시설수,접근성지표,이용편리지표
11110530,1101053,종로구 사직동,종로구,사직동,1834,0.042983869,0,10.84508302,30
11110540,1101054,종로구 삼청동,종로구,삼청동,641,0.047103993,2,2.304008041,5
11110550,1101055,종로구 부암동,종로구,부암동,1763,0.064248383,1,7.574081034,2.5
11110560,1101056,종로구 평창동,종로구,평창동,3407,0.073160791,6,9.793059136,10
11110570,1101057,종로구 무악동,종로구,무악동,1380,0.067538707,2,1.380764164,0
11110580,1101058,종로구 교남동,종로구,교남동,1584,0.056831177,2,4.717978478,5
11110600,1101060,종로구 가회동,종로구,가회동,876,0.038893634,3,5.020265506,7.5
11110615,1101061,종로구 종로1.2.3.4가동,종로구,종로1.2.3.4가동,1942,0.054378243,15,41.56598548,42.5
11110630,1101063,종로구 종로5.6가동,종로구,종로5.6가동,1072,0.072820826,5,12.22120203,7.5
11110640,1101064,종로구 이화동,종로구,이화동,1340,0.050632976,6,8.34873266,2.5
11110670,1101067,종로구 창신1동,종로구,창신1동,1266,0.083151497,3,8.511174597,7.5
11110680,1101068,종로구 창신2동,종로구,창신2동,1793,0.073370823,3,7.471028612,2.5
11110690,1101069,종로구 창신3동,종로구,창신3동,1206,0.062060027,4,3.286688864,5
11110700,1101070,종로구 숭인1동,종로구,숭인1동,1206,0.07261343,2,6.361539561,2.5
11110710,1101071,종로구 숭인2동,종로구,숭인2동,1607,0.077169092,2,4.592329209,10
11110515,1101072,종로구 청운효자동,종로구,청운효자동,2149,0.047418325,2,5.355102932,12.5
11110650,1101073,종로구 혜화동,종로구,혜화동,2715,0.041332623,6,7.088679574,7.5
11140520,1102052,중구 소공동,중구,소공동,300,0.028698045,1,23.94990908,22.5
11140540,1102054,중구 회현동,중구,회현동,1564,0.050372826,4,24.08859521,20
11140550,1102055,중구 명동,중구,명동,791,0.031839303,0,14.40239747,37.5
11140570,1102057,중구 필동,중구,필동,884,0.04155486,1,13.54844923,10
11140580,1102058,중구 장충동,중구,장충동,854,0.051768236,2,6.150572651,2.5
11140590,1102059,중구 광희동,중구,광희동,1225,0.055764146,3,21.54665759,30
11140605,1102060,중구 을지로동,중구,을지로동,511,0.072896949,1,21.98647179,30
11140650,1102065,중구 신당5동,중구,신당5동,1827,0.061776508,6,3.318191665,12.5
11140670,1102067,중구 황학동,중구,황학동,2045,0.066859395,2,7.489045784,2.5
11140680,1102068,중구 중림동,중구,중림동,2130,0.051251597,4,7.397920949,5
11140615,1102069,중구 신당동,중구,신당동,1479,0.054052829,4,16.55395686,12.5
11140625,1102070,중구 다산동,중구,다산동,2706,0.062551208,3,10.05754014,22.5
11140635,1102071,중구 약수동,중구,약수동,3823,0.078529689,6,11.08950309,5
11140645,1102072,중구 청구동,중구,청구동,2731,0.060874183,6,3.524741025,5
11140665,1102073,중구 동화동,중구,동화동,1897,0.059380745,1,0.755571055,5
11170510,1103051,용산구 후암동,용산구,후암동,3019,0.051569005,3,2.862234455,5
11170520,1103052,용산구 용산2가동,용산구,용산2가동,2066,0.053754539,4,4.110409637,5
11170530,1103053,용산구 남영동,용산구,남영동,1605,0.050751672,4,15.79567838,0
11170570,1103057,용산구 원효로2동,용산구,원효로2동,2382,0.057582836,3,3.98188521,2.5
11170580,1103058,용산구 효창동,용산구,효창동,1477,0.055543315,4,12.15376303,7.5
11170590,1103059,용산구 용문동,용산구,용문동,2142,0.065067963,6,3.630584896,5
11170630,1103063,용산구 이촌1동,용산구,이촌1동,4469,0.061974146,10,9.762831668,5
11170640,1103064,용산구 이촌2동,용산구,이촌2동,1756,0.064045903,5,3.971723506,0
11170650,1103065,용산구 이태원1동,용산구,이태원1동,1557,0.050686932,5,5.509148854,5
11170660,1103066,용산구 이태원2동,용산구,이태원2동,1865,0.053260069,6,5.09309046,7.5
11170690,1103069,용산구 서빙고동,용산구,서빙고동,2104,0.060437049,8,7.312068562,2.5
11170700,1103070,용산구 보광동,용산구,보광동,2782,0.056635244,11,3.139606718,0
11170555,1103071,용산구 청파동,용산구,청파동,3346,0.048739227,5,9.208087142,7.5
11170560,1103072,용산구 원효로1동,용산구,원효로1동,1987,0.047859618,7,7.066911715,5
11170625,1103073,용산구 한강로동,용산구,한강로동,3322,0.039179279,8,33.64252643,25
11170685,1103074,용산구 한남동,용산구,한남동,3696,0.045453316,11,10.98725104,25
11200520,1104052,성동구 왕십리2동,성동구,왕십리2동,2579,0.056580326,16,6.370937462,2.5
11200540,1104054,성동구 마장동,성동구,마장동,3870,0.062497417,13,6.856517999,37.5
11200550,1104055,성동구 사근동,성동구,사근동,1506,0.037600765,7,9.093714055,12.5
11200560,1104056,성동구 행당1동,성동구,행당1동,2130,0.052514596,7,23.56044901,0
11200570,1104057,성동구 행당2동,성동구,행당2동,3757,0.06260313,5,11.25802189,5
11200580,1104058,성동구 응봉동,성동구,응봉동,2554,0.062455509,9,8.469626464,5
11200590,1104059,성동구 금호1가동,성동구,금호1가동,2603,0.064514991,4,8.467202159,0
11200620,1104062,성동구 금호4가동,성동구,금호4가동,2337,0.070153762,11,7.132182856,0
11200650,1104065,성동구 성수1가1동,성동구,성수1가1동,2287,0.044009944,11,10.75794763,7.5
11200660,1104066,성동구 성수1가2동,성동구,성수1가2동,1918,0.041118068,8,8.816341792,2.5
11200670,1104067,성동구 성수2가1동,성동구,성수2가1동,2896,0.044817211,8,9.567237612,5
11200690,1104068,성동구 성수2가3동,성동구,성수2가3동,1901,0.033364818,9,8.608312595,17.5
11200720,1104069,성동구 송정동,성동구,송정동,1770,0.048044225,5,2.370801138,10
