시군구,행정구역명,법정동,행정구역코드,행정기관코드,법정동코드
종로구,종로구,종로구,11010,1111000000,1111000000
종로구,청운효자동,청운동,1101072,1111051500,1111010100
종로구,청운효자동,신교동,1101072,1111051500,1111010200
종로구,청운효자동,궁정동,1101072,1111051500,1111010300
종로구,청운효자동,효자동,1101072,1111051500,1111010400
종로구,청운효자동,창성동,1101072,1111051500,1111010500
종로구,청운효자동,통인동,1101072,1111051500,1111010800
종로구,청운효자동,누상동,1101072,1111051500,1111010900
종로구,청운효자동,누하동,1101072,1111051500,1111011000
종로구,청운효자동,옥인동,1101072,1111051500,1111011100
종로구,청운효자동,세종로,1101072,1111051500,1111011900
종로구,사직동,통의동,1101053,1111053000,1111010600
종로구,사직동,적선동,1101053,1111053000,1111010700
종로구,사직동,체부동,1101053,1111053000,1111011200
종로구,사직동,필운동,1101053,1111053000,1111011300
종로구,사직동,내자동,1101053,1111053000,1111011400
종로구,사직동,사직동,1101053,1111053000,1111011500
종로구,사직동,도렴동,1101053,1111053000,1111011600
종로구,사직동,당주동,1101053,1111053000,1111011700
종로구,사직동,내수동,1101053,1111053000,1111011800
종로구,사직동,세종로,1101053,1111053000,1111011900
종로구,사직동,신문로1가,1101053,1111053000,1111012000
종로구,사직동,신문로2가,1101053,1111053000,1111012100
종로구,삼청동,팔판동,1101054,1111054000,1111013900
종로구,삼청동,삼청동,1101054,1111054000,1111014000
종로구,삼청동,안국동,1101054,1111054000,1111014100
종로구,삼청동,소격동,1101054,1111054000,1111014200
종로구,삼청동,화동,1101054,1111054000,1111014300
종로구,삼청동,사간동,1101054,1111054000,1111014400
종로구,삼청동,송현동,1101054,1111054000,1111014500
종로구,부암동,부암동,1101055,1111055000,1111018400
종로구,부암동,홍지동,1101055,1111055000,1111018500
종로구,부암동,신영동,1101055,1111055000,1111018600
종로구,평창동,구기동,1101056,1111056000,1111018200
종로구,평창동,평창동,1101056,1111056000,1111018300
종로구,무악동,무악동,1101057,1111057000,1111018700
종로구,교남동,교남동,1101058,1111058000,1111017600
종로구,교남동,평동,1101058,1111058000,1111017700
종로구,교남동,송월동,1101058,1111058000,1111017800
종로구,교남동,홍파동,1101058,1111058000,1111017900
종로구,교남동,교북동,1101058,1111058000,1111018000
종로구,교남동,행촌동,1101058,1111058000,1111018100
종로구,가회동,가회동,1101060,1111060000,1111014600
종로구,가회동,재동,1101060,1111060000,1111014700
종로구,가회동,계동,1101060,1111060000,1111014800
종로구,가회동,원서동,1101060,1111060000,1111014900
종로구,종로1·2·3·4가동,세종로,1101061,1111061500,1111011900
종로구,종로1·2·3·4가동,청진동,1101061,1111061500,1111012200
종로구,종로1·2·3·4가동,서린동,1101061,1111061500,1111012300
종로구,종로1·2·3·4가동,수송동,1101061,1111061500,1111012400
종로구,종로1·2·3·4가동,중학동,1101061,1111061500,1111012500
종로구,종로1·2·3·4가동,종로1가,1101061,1111061500,1111012600
종로구,종로1·2·3·4가동,공평동,1101061,1111061500,1111012700
종로구,종로1·2·3·4가동,관훈동,1101061,1111061500,1111012800
종로구,종로1·2·3·4가동,견지동,1101061,1111061500,1111012900
종로구,종로1·2·3·4가동,와룡동,1101061,1111061500,1111013000
종로구,종로1·2·3·4가동,권농동,1101061,1111061500,1111013100
종로구,종로1·2·3·4가동,운니동,1101061,1111061500,1111013200
종로구,종로1·2·3·4가동,익선동,1101061,1111061500,1111013300
종로구,종로1·2·3·4가동,경운동,1101061,1111061500,1111013400
종로구,종로1·2·3·4가동,관철동,1101061,1111061500,1111013500
종로구,종로1·2·3·4가동,인사동,1101061,1111061500,1111013600
종로구,종로1·2·3·4가동,낙원동,1101061,1111061500,1111013700
종로구,종로1·2·3·4가동,종로2가,1101061,1111061500,1111013800
종로구,종로1·2·3·4가동,훈정동,1101061,1111061500,1111015000
종로구,종로1·2·3·4가동,묘동,1101061,1111061500,1111015100
종로구,종로1·2·3·4가동,봉익동,1101061,1111061500,1111015200
종로구,종로1·2·3·4가동,돈의동,1101061,1111061500,1111015300
종로구,종로1·2·3·4가동,장사동,1101061,1111061500,1111015400
종로구,종로1·2·3·4가동,관수동,1101061,1111061500,1111015500
종로구,종로1·2·3·4가동,종로3가,1101061,1111061500,1111015600
종로구,종로1·2·3·4가동,인의동,1101061,1111061500,1111015700
종로구,종로1·2·3·4가동,예지동,1101061,1111061500,1111015800
종로구,종로1·2·3·4가동,원남동,1101061,1111061500,1111015900
종로구,종로1·2·3·4가동,종로4가,1101061,1111061500,1111016100
종로구,종로5·6가동,연지동,1101063,1111063000,1111016000
종로구,종로5·6가동,효제동,1101063,1111063000,1111016200
종로구,종로5·6가동,종로5가,1101063,1111063000,1111016300
종로구,종로5·6가동,종로6가,1101063,1111063000,1111016400
종로구,종로5·6가동,충신동,1101063,1111063000,1111016700
종로구,이화동,이화동,1101064,1111064000,1111016500
종로구,이화동,연건동,1101064,1111064000,1111016600
종로구,이화동,동숭동,1101064,1111064000,1111016800
종로구,혜화동,와룡동,1101073,1111065000,1111013000
종로구,혜화동,혜화동,1101073,1111065000,1111016900
종로구,혜화동,명륜1가,1101073,1111065000,1111017000
종로구,혜화동,명륜2가,1101073,1111065000,1111017100
종로구,혜화동,명륜4가,1101073,1111065000,1111017200
종로구,혜화동,명륜3가,1101073,1111065000,1111017300
종로구,창신1동,창신동,1101067,1111067000,1111017400
종로구,창신2동,창신동,1101068,1111068000,1111017400
종로구,창신3동,창신동,1101069,1111069000,1111017400
종로구,숭인1동,숭인동,1101070,1111070000,1111017500
종로구,숭인2동,숭인동,1101071,1111071000,1111017500
중구,중구,중구,11020,1114000000,1114000000
중구,소공동,소공동,1102052,1114052000,1114011100
중구,소공동,북창동,1102052,1114052000,1114011300
중구,소공동,태평로2가,1102052,1114052000,1114011400
중구,소공동,남대문로2가,1102052,1114052000,1114011500
중구,소공동,남대문로3가,1102052,1114052000,1114011600
중구,소공동,남대문로4가,1102052,1114052000,1114011700
중구,소공동,봉래동1가,1102052,1114052000,1114011900
중구,소공동,서소문동,1102052,1114052000,1114016600
중구,소공동,정동,1102052,1114052000,1114016700
중구,소공동,순화동,1102052,1114052000,1114016800
중구,소공동,의주로1가,1102052,1114052000,1114016900
중구,소공동,충정로1가,1102052,1114052000,1114017000
중구,회현동,남창동,1102054,1114054000,1114011200
중구,회현동,남대문로3가,1102054,1114054000,1114011600
중구,회현동,남대문로4가,1102054,1114054000,1114011700
중구,회현동,남대문로5가,1102054,1114054000,1114011800
중구,회현동,봉래동1가,1102054,1114054000,1114011900
중구,회현동,봉래동2가,1102054,1114054000,1114012000
중구,회현동,회현동1가,1102054,1114054000,1114012100
중구,회현동,회현동2가,1102054,1114054000,1114012200
중구,회현동,충무로1가,1102054,1114054000,1114012400
중구,회현동,순화동,1102054,1114054000,1114016800
중구,명동,무교동,1102055,1114055000,1114010100
중구,명동,다동,1102055,1114055000,1114010200
중구,명동,태평로1가,1102055,1114055000,1114010300
중구,명동,을지로1가,1102055,1114055000,1114010400
중구,명동,을지로2가,1102055,1114055000,1114010500
중구,명동,남대문로1가,1102055,1114055000,1114010600
중구,명동,삼각동,1102055,1114055000,1114010700
중구,명동,수하동,1102055,1114055000,1114010800
중구,명동,장교동,1102055,1114055000,1114010900
중구,명동,수표동,1102055,1114055000,1114011000
중구,명동,남대문로2가,1102055,1114055000,1114011500
중구,명동,회현동1가,1102055,1114055000,1114012100
중구,명동,회현동2가,1102055,1114055000,1114012200
중구,명동,회현동3가,1102055,1114055000,1114012300
중구,명동,충무로1가,1102055,1114055000,1114012400
중구,명동,충무로2가,1102055,1114055000,1114012500
중구,명동,명동1가,1102055,1114055000,1114012600
중구,명동,명동2가,1102055,1114055000,1114012700
중구,명동,남산동1가,1102055,1114055000,1114012800
중구,명동,남산동2가,1102055,1114055000,1114012900
중구,명동,남산동3가,1102055,1114055000,1114013000
중구,명동,저동1가,1102055,1114055000,1114013100
중구,명동,예장동,1102055,1114055000,1114014200
중구,필동,충무로4가,1102057,1114057000,1114013200
중구,필동,충무로5가,1102057,1114057000,1114013300
중구,필동,묵정동,1102057,1114057000,1114013600
중구,필동,필동1가,1102057,1114057000,1114013700
중구,필동,필동2가,1102057,1114057000,1114013800
중구,필동,필동3가,1102057,1114057000,1114013900
중구,필동,남학동,1102057,1114057000,1114014000
중구,필동,주자동,1102057,1114057000,1114014100
중구,필동,예장동,1102057,1114057000,1114014200
중구,필동,장충동2가,1102057,1114057000,1114014400
중구,필동,충무로3가,1102057,1114057000,1114015800
중구,장충동,묵정동,1102058,1114058000,1114013600
중구,장충동,장충동1가,1102058,1114058000,1114014300
중구,장충동,장충동2가,1102058,1114058000,1114014400
중구,광희동,충무로4가,1102059,1114059000,1114013200
중구,광희동,충무로5가,1102059,1114059000,1114013300
중구,광희동,인현동2가,1102059,1114059000,1114013400
중구,광희동,예관동,1102059,1114059000,1114013500
중구,광희동,광희동1가,1102059,1114059000,1114014500
중구,광희동,광희동2가,1102059,1114059000,1114014600
중구,광희동,쌍림동,1102059,1114059000,1114014700
중구,광희동,을지로6가,1102059,1114059000,1114014800
중구,광희동,을지로7가,1102059,1114059000,1114014900
중구,광희동,오장동,1102059,1114059000,1114015400
중구,을지로동,을지로4가,1102060,1114060500,1114015000
중구,을지로동,을지로5가,1102060,1114060500,1114015100
중구,을지로동,주교동,1102060,1114060500,1114015200
