자치구,동,전체인구,거주인구수,거주인구비율
종로구,사직동,9813,1834,0.1869
종로구,삼청동,2803,641,0.2287
종로구,부암동,10069,1763,0.1751
종로구,평창동,18491,3407,0.1843
종로구,무악동,8425,1380,0.1638
종로구,교남동,10384,1584,0.1525
종로구,가회동,4297,876,0.2039
종로구,종로1.2.3.4가동,8449,1942,0.2298
종로구,종로5.6가동,5691,1072,0.1884
종로구,이화동,7895,1340,0.1697
종로구,창신1동,5849,1266,0.2164
종로구,창신2동,9391,1793,0.1909
종로구,창신3동,6929,1206,0.1741
종로구,숭인1동,6336,1206,0.1903
종로구,숭인2동,10049,1607,0.1599
종로구,청운효자동,12288,2149,0.1749
종로구,혜화동,19408,2715,0.1399
중구,소공동,3106,300,0.0966
중구,회현동,5738,1564,0.2726
중구,명동,3714,791,0.213
중구,필동,4680,884,0.1889
중구,장충동,5301,854,0.1611
중구,광희동,6516,1225,0.188
중구,을지로동,1947,511,0.2625
중구,신당5동,10848,1827,0.1684
중구,황학동,13502,2045,0.1515
중구,중림동,12615,2130,0.1688
중구,신당동,9141,1479,0.1618
중구,다산동,14607,2706,0.1853
중구,약수동,17134,3823,0.2231
중구,청구동,14109,2731,0.1936
중구,동화동,10750,1897,0.1765
용산구,후암동,17843,3019,0.1692
용산구,용산2가동,11264,2066,0.1834
용산구,남영동,8049,1605,0.1994
용산구,원효로2동,14268,2382,0.1669
용산구,효창동,10369,1477,0.1424
용산구,용문동,12327,2142,0.1738
용산구,이촌1동,28516,4469,0.1567
용산구,이촌2동,8628,1756,0.2035
용산구,이태원1동,8543,1557,0.1823
용산구,이태원2동,10712,1865,0.1741
용산구,서빙고동,13919,2104,0.1512
용산구,보광동,15284,2782,0.182
용산구,청파동,20305,3346,0.1648
용산구,원효로1동,16746,1987,0.1187
용산구,한강로동,23212,3322,0.1431
용산구,한남동,23351,3696,0.1583
성동구,왕십리2동,17242,2579,0.1496
성동구,마장동,23257,3870,0.1664
성동구,사근동,13352,1506,0.1128
성동구,행당1동,14358,2130,0.1483
성동구,행당2동,23927,3757,0.157
성동구,응봉동,15726,2554,0.1624
성동구,금호1가동,15718,2603,0.1656
성동구,금호4가동,14723,2337,0.1587
성동구,성수1가1동,17168,2287,0.1332
성동구,성수1가2동,13451,1918,0.1426
성동구,성수2가1동,16899,2896,0.1714
성동구,성수2가3동,11387,1901,0.1669
성동구,송정동,11018,1770,0.1606
성동구,용답동,12814,2170,0.1693
성동구,왕십리도선동,27292,3722,0.1364
성동구,금호2.3가동,23356,3900,0.167
성동구,옥수동,26733,4068,0.1522
광진구,화양동,25523,2277,0.0892
광진구,군자동,21696,2940,0.1355
광진구,중곡1동,15950,2465,0.1545
광진구,중곡2동,22065,3208,0.1454
광진구,중곡3동,16668,2793,0.1676
광진구,중곡4동,29385,4988,0.1697
광진구,능동,11728,1589,0.1355
광진구,구의1동,22474,3067,0.1365
