ÇàÁ¤µ¿ÄÚµå,½Ã°£´ë±¸ºÐ,ÃÑ»ýÈ°ÀÎ±¸¼öÆò±Õ,60-64¼¼,65¼¼-69¼¼,70¼¼ÀÌ»ó
11110515,»õº®,14557.57337,380.3271276,291.6949461,486.988353
11110530,»õº®,13983.16325,451.0951694,319.4684952,556.402515
11110540,»õº®,4407.910632,150.1700842,127.980639,170.8695688
11110550,»õº®,15532.95411,561.829041,397.7735294,637.5352288
11110560,»õº®,20025.45381,785.9993232,562.2997513,817.6592473
11110570,»õº®,8573.820405,297.5250189,208.9681238,321.9729536
11110580,»õº®,6396.104879,187.8469047,137.8997224,214.8446967
11110600,»õº®,5075.580903,140.3431221,114.9790086,191.4705804
11110615,»õº®,19982.42457,701.4438127,487.0148013,695.2344855
11110630,»õº®,9620.123512,390.7582463,246.8670523,378.6424028
11110640,»õº®,15260.70958,416.0501904,368.694017,575.7032015
11110650,»õº®,26764.97999,582.6501299,455.5825484,767.3533324
11110670,»õº®,9265.11062,386.9529276,273.5457126,357.2952943
11110680,»õº®,11076.73101,472.9309852,327.2135822,459.1663939
11110690,»õº®,5422.601558,179.5087942,144.9305202,193.6658947
11110700,»õº®,7772.765046,272.8140195,214.8571341,302.923699
11110710,»õº®,12743.67281,432.2177018,334.1671942,446.9447728
11140520,»õº®,6644.691704,200.1002447,113.3175019,168.1385217
11140540,»õº®,7835.012139,302.2745538,209.1289378,297.6780803
11140550,»õº®,7634.039875,217.6673008,154.0103605,204.4964781
11140570,»õº®,6433.806508,186.2389376,116.1385122,166.2265929
11140580,»õº®,7150.02446,193.9512284,146.9798738,225.8725039
11140590,»õº®,13386.78373,388.1046418,298.1305305,373.3307161
11140605,»õº®,5937.961925,219.517428,157.1603503,234.9351659
11140615,»õº®,23623.45228,610.0502196,402.5391487,555.4806057
11140625,»õº®,14985.66709,510.7109972,421.7015643,616.2134095
11140635,»õº®,18128.10344,697.9977451,553.8684199,839.966199
11140645,»õº®,14004.04327,451.0354716,314.640735,514.5239998
11140650,»õº®,10509.28069,345.9041618,258.0317643,354.2502201
11140665,»õº®,9894.100245,343.6946273,251.3160128,334.4529128
11140670,»õº®,13344.16431,376.1007059,279.4933144,435.6040131
11140680,»õº®,7991.601007,220.4544312,180.1187,280.8020717
11170510,»õº®,16183.27715,575.0774535,362.3053915,508.5207574
11170520,»õº®,12011.20264,376.6936107,257.1461386,429.4744676
11170530,»õº®,8824.584364,307.0144071,200.5020085,289.6428876
11170555,»õº®,22241.80729,581.2999635,457.0949625,645.919203
11170560,»õº®,19383.6791,471.3265768,339.8005587,485.4316761
11170570,»õº®,14084.55874,436.7592646,392.4055057,537.8144436
11170580,»õº®,10227.20449,296.1161848,200.3777623,301.8576096
11170590,»õº®,11466.11812,366.8893123,262.0912352,390.5634259
11170625,»õº®,29688.57263,810.4459681,517.6464155,733.6788147
11170630,»õº®,28094.87909,946.2655322,602.8159003,898.8760915
11170640,»õº®,7872.353098,318.1473832,233.2930073,319.3725463
11170650,»õº®,9658.817399,272.9057231,196.1499119,295.8219259
11170660,»õº®,12714.72152,336.3768276,244.7301308,392.8795558
11170685,»õº®,26092.52285,699.3869786,557.9520165,795.4887099
11170690,»õº®,15690.20433,464.5566587,346.6381759,514.3161104
11170700,»õº®,12147.33405,430.1131463,297.2518718,374.220475
11200520,»õº®,17459.97832,535.9249286,408.9720444,561.1893906
11200535,»õº®,29302.17597,855.8054129,619.1483398,859.83201
11200540,»õº®,23669.91194,743.4336524,552.9485051,793.1703296
11200550,»õº®,18676.12816,379.964307,268.7000701,418.9978045
11200560,»õº®,15665.93925,445.6680711,314.9849213,461.1957306
11200570,»õº®,23248.91357,673.5147965,510.0062298,806.0682698
11200580,»õº®,14416.87153,419.6321465,361.1872015,508.8504601
11200590,»õº®,16817.59232,568.6392591,425.4769707,598.4427471
11200615,»õº®,24259.91458,740.3281817,591.2001283,839.9439424
11200620,»õº®,12892.6063,405.3698255,342.8147495,504.000487
11200645,»õº®,29730.5257,914.4883751,682.1967862,1050.433608
11200650,»õº®,15613.6162,557.9050052,316.6524659,405.576798
11200660,»õº®,15709.74046,523.9492498,309.193713,477.5202862
11200670,»õº®,18166.48913,724.3354444,436.2256189,513.3838999
11200690,»õº®,19670.8805,649.3941747,404.9309887,636.1705648
11200720,»õº®,11771.42289,359.4841755,254.8954256,322.8963629
11200790,»õº®,17258.70109,521.0871728,373.1860075,561.4868392
11215710,»õº®,32240.80796,575.6966794,459.7979901,582.6108832
11215730,»õº®,19264.55164,484.579487,340.4092058,472.1529471
11215740,»õº®,16983.89997,550.2468156,406.7550383,553.080389
11215750,»õº®,20835.10946,623.6691141,469.7894677,660.1709092
11215760,»õº®,17500.55377,614.5148641,461.8445451,689.9995314
11215770,»õº®,29552.72701,1127.265248,762.5878569,1099.567768
11215780,»õº®,13434.72264,362.3662881,279.3266098,367.1111606
11215810,»õº®,39622.53214,953.0446733,688.842949,980.5440759
11215820,»õº®,26699.98656,806.9308474,588.5743969,747.291304
11215830,»õº®,23142.27394,815.2965693,589.3440371,776.8381975
11215840,»õº®,25264.02868,815.6497292,564.0565379,826.4909099
11215847,»õº®,23632.56861,904.3875333,596.2836712,795.1431019
11215850,»õº®,27188.7573,802.3741318,496.2188114,753.406861
11215860,»õº®,24731.41175,810.7550958,574.0414981,888.7063005
11215870,»õº®,31971.90526,1014.795563,670.7681579,926.754455
11230536,»õº®,36692.18536,1217.869687,858.6797783,1330.173248
11230545,»õº®,29670.66623,993.4562158,823.8502081,1360.291655
11230560,»õº®,31785.23445,1053.202395,786.7342794,1193.161376
11230570,»õº®,17628.0644,587.2001,412.8934895,635.2366994
11230600,»õº®,26774.71862,822.6036768,560.4728793,826.5941527
11230610,»õº®,26409.05113,1004.699175,687.2853281,1036.647973
11230650,»õº®,35663.94371,1257.533658,883.0104083,1227.504374
11230660,»õº®,27454.27216,803.935197,641.1394384,968.5085602
11230705,»õº®,17523.56015,721.4915083,617.7754555,894.00468
11230710,»õº®,20618.69369,480.8786308,425.9604595,681.2299726
11230720,»õº®,14948.98356,392.2974243,307.6765816,443.8927689
11230730,»õº®,22808.92459,657.0021163,527.8061066,756.8441206
