읍면동코드,읍면동,경로당수,복지시설수,총노인시설수
1101053,사직동,0,0,0
1101054,삼청동,2,0,2
1101055,부암동,1,0,1
1101056,평창동,6,0,6
1101057,무악동,2,0,2
1101058,교남동,2,0,2
1101060,가회동,3,0,3
1101061,종로1.2.3.4가동,14,1,15
1101063,종로5.6가동,5,0,5
1101064,이화동,5,1,6
1101067,창신1동,3,0,3
1101068,창신2동,3,0,3
1101069,창신3동,4,0,4
1101070,숭인1동,2,0,2
1101071,숭인2동,2,0,2
1101072,청운효자동,2,0,2
1101073,혜화동,6,0,6
1102052,소공동,1,0,1
1102054,회현동,4,0,4
1102055,명동,0,0,0
1102057,필동,1,0,1
1102058,장충동,2,0,2
1102059,광희동,3,0,3
1102060,을지로동,1,0,1
1102065,신당5동,6,0,6
1102067,황학동,2,0,2
1102068,중림동,4,0,4
1102069,신당동,4,0,4
1102070,다산동,3,0,3
1102071,약수동,5,1,6
1102072,청구동,5,1,6
1102073,동화동,1,0,1
1103051,후암동,3,0,3
1103052,용산2가동,4,0,4
1103053,남영동,4,0,4
1103057,원효로2동,3,0,3
1103058,효창동,4,0,4
1103059,용문동,6,0,6
1103063,이촌1동,10,0,10
1103064,이촌2동,5,0,5
1103065,이태원1동,5,0,5
1103066,이태원2동,6,0,6
1103069,서빙고동,8,0,8
1103070,보광동,11,0,11
1103071,청파동,4,1,5
1103072,원효로1동,7,0,7
1103073,한강로동,8,0,8
1103074,한남동,10,1,11
1104052,왕십리2동,16,0,16
1104054,마장동,12,1,13
1104055,사근동,6,1,7
1104056,행당1동,7,0,7
1104057,행당2동,5,0,5
1104058,응봉동,9,0,9
1104059,금호1가동,4,0,4
1104062,금호4가동,11,0,11
1104065,성수1가1동,11,0,11
1104066,성수1가2동,7,1,8
1104067,성수2가1동,8,0,8
1104068,성수2가3동,9,0,9
1104069,송정동,5,0,5
1104070,용답동,4,0,4
1104071,왕십리도선동,5,1,6
1104072,금호2.3가동,11,0,11
1104073,옥수동,13,0,13
1105053,화양동,2,0,2
1105054,군자동,4,1,5
1105055,중곡1동,2,0,2
1105056,중곡2동,3,0,3
1105057,중곡3동,1,0,1
1105058,중곡4동,5,0,5
1105059,능동,1,0,1
1105060,구의1동,4,0,4
1105061,구의2동,3,0,3
1105062,구의3동,7,0,7
1105063,광장동,20,0,20
1105064,자양1동,5,0,5
1105065,자양2동,10,0,10
1105066,자양3동,13,0,13
1105067,자양4동,8,0,8
1106071,회기동,1,0,1
1106072,휘경1동,8,0,8
1106073,휘경2동,8,0,8
1106080,청량리동,14,1,15
1106081,용신동,6,0,6
1106082,제기동,5,0,5
1106083,전농1동,2,0,2
1106084,전농2동,8,0,8
1106086,답십리2동,16,0,16
1106087,장안1동,12,0,12
1106088,장안2동,11,0,11
1106089,이문1동,8,0,8
1106090,이문2동,10,0,10
1106091,답십리1동,9,0,9
1107052,면목2동,5,1,6
1107054,면목4동,8,0,8
1107055,면목5동,3,0,3
1107057,면목7동,12,0,12
1107059,상봉1동,10,0,10
1107060,상봉2동,2,0,2
1107061,중화1동,6,1,7
1107062,중화2동,5,0,5
1107064,묵1동,13,0,13
1107065,묵2동,5,0,5
1107068,망우3동,2,0,2
1107069,신내1동,18,1,19
1107070,신내2동,9,1,10
1107071,면목본동,7,0,7
1107072,면목3.8동,8,1,9
1107073,망우본동,10,0,10
1108058,돈암1동,1,0,1
1108059,돈암2동,11,0,11
1108060,안암동,6,0,6
1108061,보문동,6,1,7
1108062,정릉1동,9,0,9
1108063,정릉2동,10,1,11
1108064,정릉3동,3,0,3
1108065,정릉4동,13,0,13
1108066,길음1동,13,0,13
1108068,길음2동,5,0,5
1108071,월곡1동,9,0,9
1108072,월곡2동,6,1,7
1108076,장위1동,5,0,5
1108077,장위2동,1,0,1
1108078,장위3동,4,1,5
1108081,성북동,4,0,4
1108082,삼선동,7,1,8
1108083,동선동,4,0,4
1108084,종암동,15,1,16
1108085,석관동,8,1,9
1109060,번1동,6,0,6
1109061,번2동,10,0,10
1109062,번3동,13,0,13
1109063,수유1동,5,0,5
1109064,수유2동,5,0,5
1109065,수유3동,4,0,4
1109069,삼양동,14,0,14
1109070,미아동,7,0,7
1109071,송중동,6,0,6
1109072,송천동,10,0,10
1109073,삼각산동,5,0,5
1109074,우이동,4,0,4
1109075,인수동,7,1,8
1110051,쌍문1동,13,1,14
1110052,쌍문2동,7,1,8
1110053,쌍문3동,7,0,7
1110054,쌍문4동,11,0,11
1110055,방학1동,11,0,11
1110056,방학2동,4,1,5
1110057,방학3동,16,0,16
1110059,창1동,6,0,6
1110060,창2동,7,0,7
1110061,창3동,5,1,6
1110062,창4동,8,0,8
1110063,창5동,12,0,12
1110064,도봉1동,10,1,11
1110065,도봉2동,14,0,14
1111051,월계1동,17,1,18
1111052,월계2동,7,0,7
1111053,월계3동,11,0,11
1111056,공릉2동,21,1,22
1111058,하계1동,11,1,12
1111059,하계2동,4,0,4
1111060,중계본동,14,0,14
1111061,중계1동,13,0,13
1111064,중계4동,10,0,10
1111065,상계1동,21,0,21
1111066,상계2동,11,1,12
1111069,상계5동,6,0,6
1111072,상계8동,4,0,4
1111073,상계9동,4,0,4
1111074,상계10동,6,0,6
1111076,상계3.4동,13,0,13
1111077,상계6.7동,9,0,9
1111078,중계2.3동,10,0,10
1111079,공릉1동,19,0,19
1112051,녹번동,10,0,10
1112052,불광1동,12,1,13
1112055,갈현1동,4,1,5
1112056,갈현2동,7,0,7
1112057,구산동,5,0,5
1112058,대조동,4,1,5
1112059,응암1동,4,0,4
1112060,응암2동,4,0,4
1112065,신사1동,9,0,9
1112066,신사2동,8,1,9
1112067,증산동,6,0,6
1112068,수색동,8,0,8
1112071,진관동,31,1,32
1112072,불광2동,6,0,6
1112073,응암3동,3,1,4
1112074,역촌동,2,1,3
1113052,천연동,12,1,13
1113062,홍제1동,5,0,5
1113064,홍제3동,2,0,2
1113065,홍제2동,20,1,21
1113066,홍은1동,5,0,5
1113068,홍은2동,13,0,13
1113069,남가좌1동,1,0,1
1113070,남가좌2동,12,0,12
1113071,북가좌1동,4,0,4
1113072,북가좌2동,14,1,15
1113073,충현동,6,0,6
1113074,북아현동,5,0,5
1113075,신촌동,4,0,4
1113076,연희동,10,1,11
1114059,용강동,7,1,8
1114060,대흥동,7,1,8
1114061,염리동,8,0,8
1114063,신수동,11,0,11
1114066,서교동,5,0,5
1114068,합정동,3,0,3
1114069,망원1동,5,0,5
1114070,망원2동,4,0,4
1114071,연남동,5,0,5
1114072,성산1동,5,0,5
1114073,성산2동,18,0,18
1114074,상암동,6,0,6
1114075,도화동,11,0,11
1114076,서강동,8,1,9
1114077,공덕동,14,1,15
1114078,아현동,13,0,13
1115051,목1동,17,0,17
1115052,목2동,10,0,10
1115053,목3동,5,0,5
1115054,목4동,6,1,7
1115057,신월1동,11,0,11
1115058,신월2동,8,1,9
1115059,신월3동,3,1,4
1115060,신월4동,10,0,10
1115061,신월5동,2,0,2
1115062,신월6동,5,0,5
